municipio,periodo,ocorrencias,ocorrencias_ameaça,ocorrencias_calúnia,ocorrencias_difamação,ocorrencias_estupro,ocorrencias_injúria,ocorrencias_lesão_corporal_grave_ou_gravíssima___dolosa,ocorrencias_lesão_corporal_leve___dolosa,ocorrencias_vias_de_fato,feminicidios,populacao_total,populacao_feminina,alfabetizacao_total,taxa_violencia_100k,taxa_feminicidio_100k,taxa_violencia_mes_anterior,taxa_violencia_3_meses_atras,taxa_violencia_6_meses_atras,houve_violencia_mes_anterior,houve_violencia_3_meses_atras,houve_violencia_6_meses_atras,media_3_meses,media_6_meses,variacao_mensal,variacao_3_meses,variacao_6_meses,feminicidios_mes_anterior,media_feminicidios_3_meses,ano,mes,mes_seno,mes_cosseno,escalada
ABDON BATISTA,2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2598,1281,93.45,0.0,0.0,78.06401249024199,78.06401249024199,156.12802498048399,1,1,1,52.042674993494664,65.05334374186833,-1.0,-1.0,-1.0,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
ABELARDO LUZ,2020-07-01,8.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,17392,8674,92.66,92.22965183306434,0.0,184.45930366612868,80.70094535393129,161.40189070786258,1,1,1,138.34447774959648,174.85204826685114,-0.5,0.14285714285714302,-0.4285714285714285,0.0,0.3333333333333333,2020,7,-0.4999999999999997,-0.8660254037844388,0
AGROLANDIA,2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10990,5501,97.11,0.0,0.0,145.42810398109432,145.42810398109432,54.53553899291038,1,1,1,103.01157365327515,96.95206932072955,-1.0,-1.0,-1.0,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
AGRONOMICA,2020-07-01,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,6055,3003,97.48,133.2001332001332,33.3000333000333,0.0,66.6000666000666,66.6000666000666,0,1,1,44.4000444000444,38.85003885003885,,1.0,1.0,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
AGUA DOCE,2020-07-01,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,6508,3180,95.88,125.78616352201257,0.0,283.0188679245283,125.78616352201257,62.893081761006286,1,1,1,146.75052410901466,94.33962264150944,-0.5555555555555556,0.0,1.0,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
AGUAS DE CHAPECO,2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6036,3000,92.52,0.0,0.0,0.0,133.33333333333334,200.0,0,1,1,66.66666666666667,127.77777777777779,,-1.0,-1.0,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
AGUAS FRIAS,2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2839,1389,94.84,0.0,0.0,0.0,0.0,0.0,0,0,0,23.99808015358771,23.99808015358771,,,,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
AGUAS MORNAS,2020-07-01,7.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6743,3360,95.34,208.33333333333334,0.0,29.761904761904766,178.57142857142856,119.04761904761907,1,1,1,109.12698412698414,104.16666666666667,5.999999999999999,0.16666666666666674,0.7499999999999998,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
ALFREDO WAGNER,2020-07-01,7.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,10481,5156,94.01,135.76415826221879,0.0,58.18463925523662,96.97439875872769,174.55391776570985,1,1,1,71.11455908973365,100.20687871735196,1.3333333333333335,0.40000000000000013,-0.2222222222222222,0.0,0.3333333333333333,2020,7,-0.4999999999999997,-0.8660254037844388,0
ALTO BELA VISTA,2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1856,917,97.84,0.0,0.0,109.05125408942203,109.05125408942203,0.0,1,1,0,72.70083605961469,54.52562704471101,-1.0,-1.0,,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
ANCHIETA,2020-07-01,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5943,2959,92.62,101.38560324433931,0.0,101.38560324433931,101.38560324433931,67.59040216289286,1,1,1,101.38560324433931,112.65067027148812,0.0,0.0,0.5000000000000002,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
ANGELINA,2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5358,2621,93.12,0.0,0.0,114.46012972148034,76.30675314765357,152.61350629530713,1,1,1,114.46012972148036,108.10123362584255,-1.0,-1.0,-1.0,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
ANITA GARIBALDI,2020-07-01,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8285,4187,91.4,71.65034631000717,0.0,191.0675901600191,0.0,95.53379508000955,1,0,1,119.41724385001196,119.41724385001193,-0.625,,-0.25,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
ANITAPOLIS,2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3593,1731,92.27,0.0,0.0,57.770075101097625,57.770075101097625,57.770075101097625,1,1,1,57.770075101097625,96.28345850182939,-1.0,-1.0,-1.0,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
ANTONIO CARLOS,2020-07-01,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11224,5591,98.44,53.65766410302271,0.0,107.31532820604542,35.77177606868181,35.77177606868181,1,1,1,47.69570142490908,47.69570142490908,-0.5,0.5,0.5,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
APIUNA,2020-07-01,7.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9811,4900,95.03,142.85714285714286,0.0,0.0,122.44897959183673,81.63265306122449,0,1,1,95.23809523809523,95.23809523809524,,0.16666666666666674,0.75,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
ARABUTA,2020-07-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4378,2143,96.99,139.99066728884742,0.0,186.65422305179655,93.32711152589827,279.98133457769484,1,1,1,93.32711152589827,139.99066728884742,-0.25,0.5,-0.5,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
